Année,situation,Taux d’insertion,Part des emplois de niveau cadre ou profession intermédiaire,Part des emplois de niveau cadre,% emplois extérieurs à la région de l’université,Part des emplois stables,Part des emplois à temps plein,Salaire net mensuel médian des emplois à temps plein,Salaire brut annuel estimé,Premier quartile des salaires nets mensuels des emplois à temps plein,Dernier quartile des salaires nets mensuels des emplois à temps plein,Part des diplômés boursiers dans la discipline,Part des femmes,Taux de chômage national,Salaire net mensuel médian national,Salaire net mensuel national 1er quartile,Salaire net mensuel national 3ème quartile,Disciplines_encoded,Domaine_encoded,Discipline_encoded,Secteur disciplinaire_encoded
2019,1,89.0,88.0,61.0,8.0,81.0,97.0,1.1545311678688672,1.0471495889494584,0.8975894012458164,1.1362036485722142,44.0,67.0,7.2,1.3862667805036102,0.0434177152635203,0.0434177152635203,0.007279344858962694,0.15468607825295724,0.06824385805277525,0.007279344858962694
2017,0,96.0,87.0,58.0,44.0,79.0,98.0,0.8403866386567144,0.7774535775981014,0.44687743178100847,1.0462522150563256,24.0,55.0,7.8,0.11349552588918434,-0.43374297548262314,-0.43374297548262314,0.017288444040036398,0.15468607825295724,0.06824385805277525,0.017288444040036398
2013,1,93.0,89.0,63.0,20.0,87.0,99.0,1.46867569708102,1.3903990579420946,0.987731795138778,1.5499802427453024,19.0,50.0,9.9,-0.3637936945912254,0.5205784060096638,0.5205784060096638,0.017288444040036398,0.15468607825295724,0.06824385805277525,0.017288444040036398
2018,0,93.0,91.0,55.0,50.0,77.0,97.0,1.1545311678688672,1.0716674081632183,0.5820910226204509,1.9097859768088574,38.0,54.0,7.8,0.5907847463695941,0.5205784060096638,0.5205784060096638,0.017288444040036398,0.15468607825295724,0.06824385805277525,0.017288444040036398
2016,1,96.0,90.0,62.0,38.0,88.0,99.0,1.5472118293840582,1.463952515583374,0.8074470073528548,2.161649990653346,23.0,46.0,8.5,-1.0001793218984383,-1.38806435697491,-1.38806435697491,0.017288444040036398,0.15468607825295724,0.06824385805277525,0.017288444040036398
2011,1,89.0,80.0,53.0,38.0,85.0,96.0,0.5655101755960807,0.4832397470329846,0.13137905315564288,0.9023299214309035,29.0,59.0,9.7,-1.477468542378848,-0.9109036662287666,-0.9109036662287666,0.017288444040036398,0.15468607825295724,0.06824385805277525,0.017288444040036398
2015,0,93.0,82.0,55.0,38.0,79.0,98.0,0.6440463078991189,0.5813110238880235,0.44687743178100847,0.9742910682436146,21.0,50.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.017288444040036398,0.15468607825295724,0.06824385805277525,0.017288444040036398
2014,1,87.0,70.0,45.0,45.0,64.0,86.0,-0.9266763381616452,-0.9387937673650799,-1.0855432643993386,-0.7887570286678048,39.0,79.0,9.3,-0.3637936945912254,0.0434177152635203,0.0434177152635203,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2019,0,81.0,74.0,44.0,47.0,56.0,83.0,-0.9659444043131643,-0.49747302151740475,-1.0855432643993386,-0.7167958818550939,44.0,78.0,7.2,1.3862667805036102,0.0434177152635203,0.0434177152635203,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2017,1,88.0,80.0,47.0,48.0,66.0,89.0,-0.45545954434341596,-0.49747302151740475,-0.770044885773973,-0.3210095743851834,43.0,78.0,7.8,0.11349552588918434,-0.43374297548262314,-0.43374297548262314,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2015,1,95.0,87.0,74.0,74.0,27.0,74.0,-1.4371611981313934,-1.4536679708540343,-1.0855432643993386,-0.7167958818550939,23.0,86.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2011,1,91.0,82.0,58.0,58.0,47.0,73.0,-1.4371611981313934,-1.4536679708540343,-0.9052584766134154,-0.8966987488868714,29.0,82.0,9.7,-1.477468542378848,-0.9109036662287666,-0.9109036662287666,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2015,0,88.0,84.0,74.0,74.0,23.0,71.0,-1.8298418596465846,-1.84595307827419,-1.446112839971185,-1.4364073499822039,23.0,86.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2014,1,90.0,80.0,58.0,41.0,67.0,87.0,-0.6517998751010114,-0.6936155752274826,-0.9503296735598962,-0.8966987488868714,36.0,79.0,9.3,-0.3637936945912254,0.0434177152635203,0.0434177152635203,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2018,0,84.0,71.0,49.0,42.0,57.0,84.0,-0.7303360074040497,-0.7671690328687618,-0.9052584766134154,-0.4289512946042499,45.0,75.0,7.8,0.5907847463695941,0.5205784060096638,0.5205784060096638,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2019,1,89.0,81.0,59.0,43.0,64.0,91.0,-0.10204694897974403,-0.1542235525247685,-0.40947531020212663,0.2546796001165046,48.0,77.0,7.2,1.3862667805036102,0.0434177152635203,0.0434177152635203,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2020,0,84.0,59.0,38.0,25.0,58.0,86.0,-1.0444805366162024,-0.5465086599449243,-0.770044885773973,-1.4364073499822039,40.0,88.0,6.9,2.0226524078108232,2.4292211689942373,2.4292211689942373,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2012,0,87.0,66.0,49.0,38.0,62.0,81.0,-1.240820867373798,-1.2575254171439565,-1.4911840369176657,-1.7242519372330478,38.0,87.0,10.1,-1.0001793218984383,-0.9109036662287666,-0.9109036662287666,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2018,1,86.0,79.0,41.0,53.0,80.0,92.0,-0.06277888282822494,-0.10518791409724901,-0.13904812852324186,0.0028155862720160825,45.0,78.0,7.8,0.5907847463695941,0.5205784060096638,0.5205784060096638,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2014,1,89.0,78.0,61.0,29.0,68.0,86.0,-1.0444805366162024,-1.0736417730407586,-1.3108992491317426,-0.8966987488868714,47.0,79.0,9.3,-0.3637936945912254,0.0434177152635203,0.0434177152635203,0.007279344858962694,0.17652411282984531,0.17652411282984531,0.007279344858962694
2019,1,90.0,72.0,32.0,34.0,59.0,81.0,-1.0444805366162024,-1.0613828634338787,-1.2658280521852616,-0.8966987488868714,40.0,78.0,7.2,1.3862667805036102,0.0434177152635203,0.0434177152635203,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2019,0,77.0,68.0,29.0,34.0,53.0,77.0,-1.554965396585951,-1.0613828634338787,-1.3559704460782234,-0.8966987488868714,40.0,78.0,7.2,1.3862667805036102,0.0434177152635203,0.0434177152635203,0.017288444040036398,0.17652411282984531,0.17652411282984531,0.017288444040036398
2017,1,81.0,71.0,37.0,38.0,48.0,85.0,-1.201552801222279,-1.2330075979301967,-1.1306144613458193,-1.076601615918649,41.0,67.0,7.8,0.11349552588918434,-0.43374297548262314,-0.43374297548262314,0.017288444040036398,0.21929026387625114,0.04913557779799818,0.017288444040036398
